date,signal_days,trades,net_bp_per_trade,hit,worst_trade_pct,best_trade_pct,year_return_pct,maxdd_in_year_pct,QQQ_year_pct
2010,24,155,118.7,0.6,-10.5,14.3,9.4,-3.3,20.1
2011,34,236,26.1,0.5,-13.4,14.0,2.9,-8.2,3.5
2012,33,198,23.9,0.6,-14.7,23.9,2.2,-5.9,18.1
2013,12,83,224.6,0.7,-4.1,14.1,9.7,-0.7,36.6
2014,22,160,173.3,0.6,-18.6,13.9,14.7,-1.9,19.2
2015,32,245,58.1,0.6,-14.9,23.0,7.0,-6.8,9.4
2016,27,168,-19.8,0.5,-15.0,21.0,-1.8,-6.7,7.1
2017,16,116,72.0,0.6,-7.3,24.1,4.2,-1.4,32.7
2018,24,230,11.4,0.5,-22.8,29.6,1.0,-6.0,-0.1
2019,15,128,80.4,0.6,-13.0,38.2,5.1,-6.2,39.0
2020,11,110,61.2,0.5,-15.3,17.8,3.2,-4.0,48.4
2021,19,189,67.4,0.6,-27.4,16.9,6.3,-6.0,27.4
2022,45,388,-20.9,0.5,-30.2,19.8,-4.5,-9.6,-32.6
2023,18,175,104.1,0.5,-25.0,138.3,9.1,-3.5,54.9
2024,20,198,108.2,0.6,-23.2,46.6,10.9,-4.6,25.6
2025,30,300,132.6,0.6,-31.9,80.7,20.3,-12.6,20.8
2026,18,180,298.9,0.7,-23.8,37.3,29.0,-11.7,17.2
