label,trades,per_day,active_days,net_bp,med_bp,hit,t_daily,sharpe,cagr,maxdd,years_pos,med_dv
"universe, buy open hold 2d",975952,387.9,1.0,-13.0,-11.4,0.477,-4.17,-1.32,-14.9,-81.5,1/10,28.0
"universe, above SMA200",646416,256.9,1.0,-15.0,-12.1,0.473,-4.63,-1.46,-15.7,-82.8,1/10,29.0
"A1 drop<=-4% intraday(gap>-2%), >SMA200, cp<0.5",10897,5.7,0.76,-24.8,-5.3,0.495,-3.51,-1.11,-29.5,-97.4,1/10,23.0
A1 cap10 worst first,7708,4.0,0.76,-25.4,-7.8,0.493,-3.36,-1.07,-28.9,-97.2,1/10,21.0
"A2 drop<=-5% any, >SMA200",7876,4.3,0.73,-21.1,-0.1,0.5,-3.45,-1.09,-32.5,-98.5,2/10,25.0
"A3 drop<=-4%, >SMA200, vratio<1.5 (no news)",8050,5.0,0.64,-23.4,-3.7,0.496,-2.42,-0.77,-22.8,-93.6,2/10,23.0
"A4 drop<=-4%, >SMA200, vratio>=2 (news)",3906,2.5,0.62,-31.2,-10.9,0.486,-4.05,-1.28,-30.5,-97.9,2/10,30.0
"A5 RSI2<5, >SMA200",26788,12.1,0.88,-1.5,2.0,0.503,-2.65,-0.84,-15.7,-85.9,7/10,29.0
"A6 RSI2<10, >SMA200, close<sma10",56426,23.6,0.95,-5.8,-2.8,0.494,-3.51,-1.11,-16.3,-85.4,4/10,29.0
"A7 3+ down days, >SMA200",54195,22.4,0.96,-6.9,-6.1,0.487,-3.06,-0.97,-14.9,-83.8,4/10,28.0
"A8 5d ret<=-8%, >SMA200",14514,6.8,0.85,7.8,12.3,0.515,-3.16,-1.0,-26.6,-96.6,6/10,27.0
"A9 close < 20d low (ll20), >SMA200",15890,8.2,0.77,-0.2,4.8,0.508,-2.36,-0.75,-12.8,-78.2,7/10,31.0
A10 drop<=-4% intraday in liquid top-300,7756,4.4,0.7,-23.8,-2.5,0.498,-3.34,-1.06,-28.7,-97.5,4/10,43.0
A11 drop<=-4% in mega top-100,3436,2.8,0.49,-16.5,-0.9,0.499,-2.65,-0.84,-21.7,-93.3,2/10,165.0
A1 but hold 1d,10897,5.7,0.76,-23.3,-15.0,0.473,-4.55,-1.44,-46.9,-99.8,1/10,23.0
A1 but hold 3d,10897,5.7,0.76,-16.7,-8.6,0.492,-2.25,-0.71,-16.7,-87.9,4/10,23.0
A1 entry at close T (15:55),10897,5.7,0.76,-18.2,1.2,0.502,-2.12,-0.67,-22.9,-93.9,2/10,23.0
A1 below SMA200 (downtrend) for contrast,13639,7.1,0.76,-13.1,-15.0,0.485,-2.96,-0.94,-26.0,-96.0,3/10,22.0
"B1 buy close, sell next open: universe",975952,387.9,1.0,-14.7,-14.9,0.459,-6.3,-1.99,-31.8,-97.9,0/10,28.0
"B2 gap-up>3% on vratio>2, close_pos>0.7 (PEAD proxy)",1969,1.7,0.45,-27.5,-15.0,0.48,-2.61,-0.82,-24.0,-94.8,2/10,28.0
"B3 gap-up>5% vratio>3 cp>0.8, >SMA200",523,1.3,0.17,-63.7,10.0,0.509,-1.97,-0.63,-14.8,-79.4,2/10,30.0
"B4 gap-down<-5% vratio>2, close_pos>0.6 (reversal after news)",1222,1.6,0.31,-30.9,-30.7,0.463,-2.06,-0.65,-13.8,-82.3,2/10,28.0
"B5 gap-down<-5% vratio>2, close_pos<0.3 (drift down?)",1013,1.4,0.28,4.3,-29.5,0.475,0.0,0.0,-2.7,-47.0,5/10,32.0
"C1 close>52w high, vratio>1.5",9290,4.6,0.81,-22.6,-23.3,0.457,-5.06,-1.62,-28.3,-96.6,1/10,27.0
"C2 close>52w high, vratio>1.5, ret_1<3% (quiet breakout)",4240,2.7,0.63,-22.2,-21.2,0.447,-3.94,-1.26,-16.0,-85.3,1/10,29.0
C3 ret_1>5% vratio>3 cp>0.8 >SMA200 (momentum burst),1574,1.6,0.4,-26.3,-13.5,0.485,-2.37,-0.75,-20.0,-89.6,3/10,22.0
"C4 top decile ret_126, quiet day",61234,24.4,1.0,-12.4,-12.7,0.478,-3.18,-1.01,-15.5,-82.6,2/10,27.0
E1 breadth: >=25% of universe down>4% today -> buy all >SMA200,6485,147.4,0.02,21.8,44.4,0.57,0.2,0.07,0.2,-8.7,4/9,33.0
"E2 breadth >=15%, buy names down>4%",9140,108.8,0.03,18.5,30.0,0.529,0.4,0.13,0.5,-12.9,4/10,28.0
E3 QQQ RSI2<10 -> buy names down>3% & >SMA200,7106,29.4,0.1,31.5,39.5,0.548,1.75,0.56,3.8,-11.6,9/10,30.0
"E4 QQQ day <-2% -> buy names down>4% intraday, >SMA200",2513,26.2,0.04,4.8,25.4,0.529,0.93,0.3,1.5,-13.8,6/10,30.0
E5 A1 on non-panic days only (QQQ>-1%),6069,3.8,0.64,-35.2,-19.7,0.479,-3.71,-1.18,-29.2,-97.3,2/10,21.0
