variant,cagr_pct,total_pct,sharpe,t_stat,maxdd_pct,worst_day_pct,years_pos,time_in_mkt_pct,trades,net_bp_per_trade,hit
close T (MOC) | 5% per name | IS 2010-19,5.4,68.0,0.88,2.76,-9.6,-4.83,9/10,10.0,1719,63.0,0.57
close T (MOC) | 5% per name | OOS 2020-26,10.9,97.0,0.93,2.38,-12.6,-6.06,6/7,10.0,1540,94.0,0.553
close T (MOC) | 5% per name | FULL 2010-26,7.5,231.0,0.86,3.49,-12.6,-6.06,15/17,10.0,3259,77.0,0.562
close T (MOC) | cohort50 | IS 2010-19,8.2,118.0,0.94,2.94,-11.4,-4.83,9/10,10.0,1719,63.0,0.57
close T (MOC) | cohort50 | OOS 2020-26,10.6,94.0,0.9,2.31,-12.6,-6.06,6/7,10.0,1540,94.0,0.553
close T (MOC) | cohort50 | FULL 2010-26,9.1,324.0,0.91,3.69,-12.6,-6.06,15/17,10.0,3259,77.0,0.562
open T+1 (MOO) | 5% per name | IS 2010-19,4.3,51.0,0.76,2.38,-9.4,-4.59,9/10,10.0,1719,50.0,0.571
open T+1 (MOO) | 5% per name | OOS 2020-26,6.7,53.0,0.65,1.68,-10.1,-6.64,6/7,10.0,1540,60.0,0.515
open T+1 (MOO) | 5% per name | FULL 2010-26,5.2,132.0,0.67,2.71,-10.1,-6.64,15/17,10.0,3259,55.0,0.544
open T+1 (MOO) | cohort50 | IS 2010-19,6.5,87.0,0.81,2.56,-11.4,-4.59,9/10,10.0,1719,50.0,0.571
open T+1 (MOO) | cohort50 | OOS 2020-26,6.3,49.0,0.61,1.57,-10.1,-6.64,5/7,10.0,1540,60.0,0.515
open T+1 (MOO) | cohort50 | FULL 2010-26,6.4,179.0,0.71,2.89,-11.4,-6.64,14/17,10.0,3259,55.0,0.544
