year,return_pct,trades,hit_pct,mean_bp,maxdd_pct
2010,7.0,19,63.0,148.0,-12.8
2011,33.1,47,74.0,275.0,-13.6
2012,1.7,40,70.0,38.0,-15.3
2013,6.9,20,75.0,136.0,-8.5
2014,26.9,31,74.0,318.0,-8.2
2015,42.1,49,78.0,294.0,-6.2
2016,14.8,31,65.0,183.0,-9.5
2017,14.9,28,71.0,232.0,-5.5
2018,0.7,34,59.0,34.0,-17.2
2019,10.0,24,67.0,163.0,-11.3
2020,-2.4,16,62.0,-34.0,-19.1
2021,10.4,28,71.0,152.0,-22.9
2022,-7.1,57,65.0,17.0,-22.6
2023,13.0,27,59.0,67.0,-13.0
2024,1.0,29,72.0,144.0,-13.3
2025,57.8,39,74.0,460.0,-20.9
2026,22.9,32,72.0,309.0,-19.7
