entry,ticker,exit,hold,r
2010-06-10,BIDU,2010-06-14,2,0.07261877
2010-06-10,REGN,2010-06-16,4,0.07056908
2010-06-25,BIDU,2010-06-28,1,0.022565888
2010-06-28,AAL,2010-07-08,7,0.02076261
2010-06-24,BPOP,2010-07-09,10,-0.053447377
2010-06-25,AMD,2010-07-14,12,-0.049661826
2010-06-24,RGLD,2010-07-23,20,-0.093853846
2010-08-13,FFIV,2010-08-18,3,0.06769483
2010-08-13,NTAP,2010-08-20,5,0.070900485
2010-08-25,FFIV,2010-08-27,2,0.034851957
2010-08-12,AAPL,2010-09-02,15,0.017524766
2010-08-12,BIDU,2010-09-02,15,0.00083260436
2010-08-25,WYNN,2010-09-03,7,0.055575777
2010-10-05,FSLR,2010-10-15,8,-0.0055114757
2010-10-05,AKAM,2010-10-18,9,-0.015441133
2010-11-16,FFIV,2010-11-22,4,0.03345077
2010-11-15,WYNN,2010-11-23,6,-0.007418109
2010-11-16,AMZN,2010-11-23,5,0.061177183
2010-11-15,BIDU,2010-11-26,8,-0.021789862
2011-01-24,AAL,2011-01-27,3,0.098291084
2011-01-24,VECO,2011-02-07,10,0.060901333
2011-02-24,INTC,2011-02-28,2,0.029806064
2011-02-23,AAPL,2011-03-01,4,0.04829638
2011-02-24,BIDU,2011-03-04,6,0.04861014
2011-03-11,APA,2011-03-21,6,0.044376183
2011-02-23,GOOG,2011-03-22,19,-0.055167567
2011-03-11,MU,2011-03-22,7,0.035327006
2011-03-16,ADBE,2011-03-28,8,0.0029780138
2011-04-13,BIDU,2011-04-14,1,0.014906215
2011-04-12,BKR,2011-04-18,4,0.007686423
2011-04-13,OLED,2011-04-25,7,0.08664255
2011-04-12,APA,2011-04-27,10,0.012266206
2011-05-05,MLCO,2011-05-06,1,0.07437663
2011-05-06,VRTX,2011-05-09,1,0.0279855
2011-05-05,REGN,2011-05-13,6,0.09960918
2011-05-06,BKR,2011-05-19,9,-0.004932357
2011-05-17,BKNG,2011-05-20,3,0.041631747
2011-05-25,GT,2011-05-27,2,0.04989784
2011-05-24,BIDU,2011-05-31,4,0.039529253
2011-05-17,AMZN,2011-06-01,10,0.021104144
2011-05-24,BKNG,2011-06-01,5,0.019198583
2011-06-07,BKR,2011-06-10,3,0.007445978
2011-06-07,BIDU,2011-06-22,11,-0.0078032147
2011-06-08,WYNN,2011-06-22,10,-0.012821866
2011-06-09,SIRI,2011-06-22,9,-0.005925728
2011-06-13,BKR,2011-06-29,12,-0.016787304
2011-08-03,BIDU,2011-08-12,7,-0.012537731
2011-08-02,INCY,2011-08-15,9,-0.093065456
2011-08-03,AMZN,2011-08-16,9,-0.056547772
2011-08-05,AAPL,2011-08-16,7,0.0018389692
2011-08-19,AAPL,2011-08-24,3,0.030200766
2011-08-19,BIDU,2011-08-29,6,0.13390629
2011-08-22,WYNN,2011-08-29,5,0.05396359
2011-08-22,LULU,2011-08-29,5,0.1475337
2011-09-23,AMZN,2011-09-27,2,0.061174084
2011-10-03,INTC,2011-10-06,3,0.033938695
2011-10-04,BIIB,2011-10-06,2,0.10802941
2011-10-03,LULU,2011-10-07,4,0.09379165
2011-09-23,BKNG,2011-10-11,12,-0.04483701
2011-11-22,PPLI,2011-11-29,4,0.020799207
2011-11-21,STX,2011-11-30,6,0.058999825
2011-11-22,FFIV,2011-12-01,6,0.08648662
2011-11-21,OLED,2011-12-06,10,-0.11173673
2011-12-15,FFIV,2011-12-21,4,0.016223596
2011-12-15,ULTA,2012-01-05,13,0.0311486
2011-12-16,MELI,2012-01-06,13,-0.035900187
2012-03-07,REGN,2012-03-09,2,0.013250278
2012-03-07,APA,2012-03-12,3,0.03178494
2012-04-11,BKNG,2012-04-13,2,-0.015769495
2012-04-11,PSKY,2012-04-18,5,0.027292894
2012-04-25,LULU,2012-04-27,2,0.027639555
2012-04-25,ZION,2012-05-02,5,0.0103528965
2012-04-24,WMT,2012-05-08,10,-0.004375411
2012-04-24,BIDU,2012-05-22,20,-0.12447454
2012-05-08,MELI,2012-05-23,11,-0.14206363
2012-05-07,CSCO,2012-05-24,13,-0.123502925
2012-05-07,FFIV,2012-06-05,20,-0.26229775
2012-06-04,PSKY,2012-06-06,2,0.04497676
2012-06-04,SBUX,2012-06-19,11,0.051114965
2012-07-12,INCY,2012-07-13,1,0.058259297
2012-07-13,UAL,2012-07-17,2,0.022128629
2012-07-11,EXPE,2012-07-19,6,0.017320918
2012-07-11,ISRG,2012-07-19,6,0.03728311
2012-07-13,MAR,2012-07-30,11,0.031013535
2012-07-26,BKNG,2012-07-30,2,0.07433133
2012-07-26,AAPL,2012-08-01,4,0.061353136
2012-08-31,WDC,2012-09-07,4,0.007741021
2012-08-31,STX,2012-09-24,15,-0.061234247
2012-09-27,JAZZ,2012-09-28,1,-0.0011758337
2012-09-26,VRTX,2012-10-03,5,0.021982359
2012-09-27,SSYS,2012-10-04,5,0.121210024
2012-09-26,CRUS,2012-10-05,7,0.023960995
2012-10-10,EBAY,2012-10-17,5,0.04339664
2012-10-22,AAPL,2012-10-23,1,0.029338526
2012-10-10,AMZN,2012-10-31,13,-0.063222244
2012-10-11,EQIX,2012-11-05,15,-0.023120178
2012-10-11,TMUS,2012-11-12,20,-0.075545624
2012-11-09,CRUS,2012-11-20,7,0.008159326
2012-11-09,LULU,2012-11-20,7,0.04430132
2012-11-15,FSLR,2012-11-20,3,0.019382285
2012-11-15,SIRI,2012-11-21,4,0.024829911
2012-12-06,PENN,2012-12-07,1,0.0030608643
2012-12-06,SRPT,2012-12-19,9,-0.032065105
2012-12-27,LULU,2013-01-02,3,0.04855447
2012-12-31,SRPT,2013-01-02,1,0.14149682
2012-12-27,AMZN,2013-01-03,4,0.03520911
2013-02-22,SSYS,2013-03-05,7,0.05249362
2013-02-22,HST,2013-03-11,11,0.02013545
2013-06-06,FSLR,2013-06-07,1,0.05140512
2013-06-06,GILD,2013-06-17,7,0.04643922
2013-06-25,MU,2013-06-26,1,0.009917067
