variant,cagr_pct,maxdd_pct,sharpe,years_pos,worst_year_pct,trades_per_yr,hit_pct,mean_bp,median_bp,avg_hold
"v2 (A: QQQ RSI2<10, K=4, 25%/name, max 2 new/day, exit close>SMA10 max 20) FULL 2010-26",15.2,-22.9,0.81,15/17,-7,34,70,181,247,6.5
v2 OOS 2010-06..2016-09 (rule chosen on 2016-26),20.0,-15.3,1.31,7/7,2,36,72,210,273,6.4
v2 IS 2016-09..2026-09,12.4,-22.9,0.63,9/11,-7,32,67,161,218,6.5
"v1 exit: same signal, sell open T+2 (fixed 48h)",8.8,-18.5,0.69,14/17,-7,47,58,81,68,2.0
exit close>SMA5 max 20,10.5,-19.9,0.69,13/17,-5,36,68,123,180,4.1
exit RSI2>60 max 10,11.3,-19.0,0.74,15/17,-8,36,70,129,191,4.1
v2 with 30 bp costs,13.3,-23.5,0.73,12/17,-10,34,69,161,227,6.5
v2 sizing 10%/name,6.1,-9.3,0.8,15/17,-3,34,70,181,247,6.5
v2 sizing 15%/name,9.2,-13.8,0.8,15/17,-4,34,70,181,247,6.5
v2 K=6 (16.7%/name),12.2,-18.6,0.8,14/17,-9,41,69,179,246,6.5
v2 without the 2-new-per-day cap,18.5,-29.8,0.89,15/17,-14,41,68,181,216,6.5
"CONTROL every day, no market filter (same entry/exit)",14.5,-60.2,0.56,11/17,-27,168,63,45,130,5.6
CONTROL tier B only (QQQ RSI2 10-30),7.4,-52.9,0.42,10/17,-26,62,65,59,164,5.8
CONTROL tier C only (QQQ RSI2 >= 30),10.9,-61.7,0.47,9/17,-26,155,62,40,127,5.6
CONTROL A+B (QQQ RSI2<30) exit SMA5 — the overfit candidate,11.3,-42.9,0.56,11/17,-21,84,65,62,154,4.1
CONTROL A+B (QQQ RSI2<30) exit SMA5 OOS 2010-16,-0.3,-31.5,0.07,3/7,-21,78,61,5,112,4.5
