date,mode,q_close,q_ret,q_rsi,tier,n_candidates,picks,buy,sell,hold
2026-06-01,replay,741.92,0.006,98.4,C,88,TSLA INTC,,,
2026-06-02,replay,745.34,0.0046,99.1,C,79,GOOGL GOOG,,,
2026-06-03,replay,743.39,-0.0026,65.6,C,97,NVDA LITE,,,
2026-06-04,replay,739.8,-0.0048,29.2,B,37,MU SNDK,,,
2026-06-05,replay,704.29,-0.048,2.4,A,239,MU NVDA,MU NVDA,,
2026-06-08,replay,715.28,0.0156,37.8,C,27,NBIS AKAM,,,MU NVDA
2026-06-09,replay,707.05,-0.0115,24.5,B,89,AMD AAPL,,,MU NVDA
2026-06-10,replay,692.93,-0.02,11.1,B,124,MU NVDA,,,MU NVDA
2026-06-11,replay,716.33,0.0338,68.4,C,5,APA CHRD,,MU,NVDA
2026-06-12,replay,720.55,0.0059,74.3,C,30,RKLB ASTS,,,NVDA
2026-06-15,replay,743.18,0.0314,91.5,C,35,LUNR ENPH,,NVDA,
2026-06-16,replay,729.06,-0.019,49.9,C,118,MU SNDK,,,
2026-06-17,replay,721.72,-0.0101,33.9,C,60,AMZN ON,,,
2026-06-18,replay,739.81,0.0251,74.4,C,23,ASTS AAOI,,,
2026-06-22,replay,737.95,-0.0025,66.1,C,44,AVGO GOOGL,,,
2026-06-23,replay,713.65,-0.0329,16.8,B,130,MU NVDA,,,
2026-06-24,replay,710.62,-0.0042,14.2,B,64,WDC QCOM,,,
2026-06-25,replay,716.38,0.0081,46.2,C,37,AAPL ARM,,,
2026-06-26,replay,706.52,-0.0138,20.3,B,88,MU SNDK,,,
2026-06-29,replay,724.08,0.0249,73.4,C,31,HON APLD,,,
2026-06-30,replay,736.4,0.017,86.3,C,30,WULF EQIX,,,
2026-07-01,replay,725.17,-0.0152,45.9,C,148,MU SNDK,,,
2026-07-02,replay,712.6,-0.0173,22.4,B,148,MU SNDK,,,
2026-07-06,replay,722.82,0.0143,57.6,C,40,RKLB TTMI,,,
2026-07-07,replay,709.43,-0.0185,26.3,B,141,MU SNDK,,,
2026-07-08,replay,711.44,0.0028,36.7,C,86,AAL PANW,,,
2026-07-09,replay,723.28,0.0166,76.1,C,14,VSAT APA,,,
2026-07-10,replay,725.51,0.0031,80.7,C,116,MRVL PANW,,,
2026-07-13,replay,711.74,-0.019,24.1,B,152,MU NVDA,,,
2026-07-14,replay,719.69,0.0112,58.1,C,29,NBIS QCOM,,,
2026-07-15,replay,717.74,-0.0027,47.6,C,66,MU SNDK,,,
2026-07-16,replay,705.94,-0.0164,15.0,B,156,MU SNDK,,,
2026-07-17,replay,695.33,-0.015,6.7,A,49,SNDK AMAT,SNDK AMAT,,
2026-07-20,replay,696.06,0.001,13.3,B,86,MRNA ENTG,,,SNDK AMAT
2026-07-21,replay,708.97,0.0185,75.2,C,29,CRWD DDOG,,,SNDK AMAT
2026-07-22,replay,705.35,-0.0051,53.7,C,95,AAL AAOI,,,SNDK AMAT
2026-07-23,replay,691.96,-0.019,17.2,B,72,TXN MCHP,,SNDK,AMAT
2026-07-24,replay,684.23,-0.0112,9.7,A,120,MU SNDK,MU SNDK,,AMAT
2026-07-27,replay,682.12,-0.0031,7.8,A,75,NVDA SNDK,NVDA,,AMAT MU SNDK
