book,signal_date,tier,ticker,entry_date,entry_px,shares,exit_signal_date,exit_date,exit_px,exit_reason,hold,ret_gross,ret_net,pnl_usd,status,mode
trade,2026-06-05,A,MU,2026-06-08,938.1257,26,2026-06-11,2026-06-12,971.6606,SMA10,4.0,0.03575,0.03475,847.52,closed,replay
trade,2026-06-05,A,NVDA,2026-06-08,209.9451,119,2026-06-15,2026-06-16,210.944,SMA10,6.0,0.00476,0.00376,93.88,closed,replay
trade,2026-07-17,A,SNDK,2026-07-20,1408.78,17,2026-07-23,2026-07-24,1551.165,SMA10,4.0,0.10107,0.10007,2396.6,closed,replay
trade,2026-07-17,A,AMAT,2026-07-20,545.0472,45,2026-08-03,2026-08-04,544.0683,SMA10,11.0,-0.0018,-0.0028,-68.58,closed,replay
trade,2026-07-24,A,MU,2026-07-27,932.45,26,2026-08-04,2026-08-05,885.3,SMA10,7.0,-0.05057,-0.05157,-1250.14,closed,replay
trade,2026-07-24,A,SNDK,2026-07-27,1462.99,17,2026-08-04,2026-08-05,1398.77,SMA10,7.0,-0.0439,-0.0449,-1116.61,closed,replay
trade,2026-07-27,A,NVDA,2026-07-28,194.782,128,2026-08-03,2026-08-04,211.0638,SMA10,5.0,0.08359,0.08259,2059.14,closed,replay
trade,2026-08-18,A,MU,2026-08-19,959.36,26,2026-08-19,2026-08-20,935.01,SMA10,1.0,-0.02538,-0.02638,-658.04,closed,replay
trade,2026-08-18,A,SNDK,2026-08-19,1682.405,14,2026-08-19,2026-08-20,1569.0,SMA10,1.0,-0.06741,-0.06841,-1611.22,closed,replay
trade,2026-08-19,A,AMD,2026-08-20,465.67,53,2026-09-04,2026-09-08,488.92,SMA10,12.0,0.04993,0.04893,1207.57,closed,replay
trade,2026-08-19,A,INTC,2026-08-20,91.87,272,2026-09-02,2026-09-03,89.35,SMA10,10.0,-0.02743,-0.02843,-710.43,closed,replay
trade,2026-08-20,A,MRNA,2026-08-21,133.11,187,2026-08-21,2026-08-24,142.7,SMA10,1.0,0.07205,0.07105,1768.44,closed,replay
trade,2026-08-20,A,CRWD,2026-08-21,190.94,130,2026-08-27,2026-08-28,228.23,SMA10,5.0,0.1953,0.1943,4822.88,closed,replay
