signal_date,tier,trade,entry_date,ticker,shares,entry_px,exit_date,exit_px,ret_gross,ret_net,pnl_usd,status,mode
2026-08-10,C,False,2026-08-11,INTC,103,96.77999877929688,2026-08-12,100.95,0.04309,0.04159,414.56,closed,replay
2026-08-10,C,False,2026-08-11,MRVL,47,212.0,2026-08-12,217.08,0.02396,0.02246,223.81,closed,replay
2026-08-11,C,False,2026-08-12,GOOGL,28,346.0875456512855,2026-08-13,346.1375,0.00014,-0.00136,-13.14,closed,replay
2026-08-11,C,False,2026-08-12,GOOG,28,345.1059286112164,2026-08-13,343.7169,-0.00403,-0.00553,-53.39,closed,replay
2026-08-12,C,False,2026-08-13,WDAY,56,177.44000244140625,2026-08-14,198.68,0.1197,0.1182,1174.53,closed,replay
2026-08-12,C,False,2026-08-13,AXON,16,597.1400146484375,2026-08-14,612.83,0.02628,0.02478,236.71,closed,replay
2026-08-13,C,False,2026-08-14,LITE,11,892.6849975585938,2026-08-17,968.9,0.08538,0.08388,823.64,closed,replay
2026-08-13,C,False,2026-08-14,CSCO,88,112.8000030517578,2026-08-17,112.9,0.00089,-0.00061,-6.09,closed,replay
2026-08-14,C,False,2026-08-17,AVGO,25,397.260009765625,2026-08-18,380.0,-0.04345,-0.04495,-446.4,closed,replay
2026-08-14,C,False,2026-08-17,AMAT,19,517.4467118764579,2026-08-18,513.7806,-0.00708,-0.00858,-84.4,closed,replay
2026-08-17,C,False,2026-08-18,MSFT,20,480.6352093836093,2026-08-19,483.4,0.00575,0.00425,40.88,closed,replay
2026-08-17,C,False,2026-08-18,NBIS,37,268.70001220703125,2026-08-19,223.9,-0.16673,-0.16823,-1672.51,closed,replay
2026-08-18,A,True,2026-08-19,MU,10,959.3599853515624,2026-08-20,974.33,0.0156,0.0141,135.31,closed,replay
2026-08-18,A,True,2026-08-19,SNDK,5,1682.405029296875,2026-08-20,1600.62,-0.04861,-0.05011,-421.54,closed,replay
2026-08-19,A,True,2026-08-20,SNDK,6,1569.0,2026-08-21,1596.08,0.01726,0.01576,148.36,closed,replay
2026-08-19,A,True,2026-08-20,AMD,21,465.6700134277344,2026-08-21,473.25,0.01628,0.01478,144.51,closed,replay
2026-08-20,A,True,2026-08-21,MRNA,75,133.11000061035156,2026-08-24,138.89,0.04342,0.04192,418.53,closed,replay
2026-08-20,A,True,2026-08-21,CRWD,52,190.94000244140625,2026-08-24,190.68,-0.00136,-0.00286,-28.41,closed,replay
2026-08-21,C,False,2026-08-24,MRVL,43,229.22000122070312,2026-08-25,240.38,0.04869,0.04719,465.1,closed,replay
2026-08-21,C,False,2026-08-24,AAOI,91,109.125,2026-08-25,113.15,0.03688,0.03538,351.38,closed,replay
2026-08-24,B,True,2026-08-25,MU,10,928.97998046875,2026-08-26,938.4,0.01014,0.00864,80.27,closed,replay
2026-08-24,B,True,2026-08-25,SNDK,6,1533.68994140625,2026-08-26,1499.37,-0.02238,-0.02388,-219.72,closed,replay
2026-08-25,C,False,2026-08-26,PANW,30,330.4599914550781,2026-08-27,382.85,0.15854,0.15704,1556.83,closed,replay
2026-08-25,C,False,2026-08-26,ZM,105,95.1999969482422,2026-08-27,100.27,0.05326,0.05176,517.36,closed,replay
2026-08-26,C,False,2026-08-27,NBIS,44,223.3699951171875,2026-08-28,209.18,-0.06353,-0.06503,-639.1,closed,replay
2026-08-26,C,False,2026-08-27,MRNA,69,144.17999267578125,2026-08-28,137.99,-0.04293,-0.04443,-442.03,closed,replay
2026-08-27,C,False,2026-08-28,MRNA,72,137.19000244140625,2026-08-31,140.34,0.02296,0.02146,211.98,closed,replay
2026-08-27,C,False,2026-08-28,BKNG,49,203.5800018310547,2026-08-31,199.09,-0.02206,-0.02356,-234.97,closed,replay
2026-08-28,C,False,2026-08-31,NVDA,45,218.8699951171875,2026-09-01,217.44,-0.00653,-0.00803,-79.12,closed,replay
2026-08-28,C,False,2026-08-31,NBIS,48,205.7350006103516,2026-09-01,199.54,-0.03011,-0.03161,-312.17,closed,replay
2026-08-31,C,False,2026-09-01,SHOP,69,143.6649932861328,2026-09-02,141.87,-0.01249,-0.01399,-138.72,closed,replay
2026-08-31,C,False,2026-09-01,BKNG,50,198.3999938964844,2026-09-02,199.6,0.00605,0.00455,45.12,closed,replay
